toponym,offset,latitude,longitude
AMORY,0,33.98428,-88.4881
Chicago,1,41.85003,-87.65005
Lake Geneva,2,42.59168,-88.43343
Wisconsin,3,44.392496,-89.818139
Rome,4,41.89474,12.4839
England,5,52.16045,-0.70312
Vienna,6,48.20849,16.37208
America,7,39.76,-98.5
Mexico City,8,19.42847,-99.12766
Newport,9,51.5882332,-2.9974967
Mississippi,10,32.75041,-89.75036
Waldorf,11,38.62456,-76.93914
Hot Springs,12,34.5037,-93.05518
Pasadena,14,29.69106,-95.2091
Boston,16,42.35843,-71.05977
London,17,51.5072648,-0.1278328
Chicago,18,41.85003,-87.65005
Rome,20,41.89474,12.4839
Asheville,21,35.60095,-82.55402
Asheville,22,35.60095,-82.55402
Italy,23,42.83333,12.83333
America,25,39.76,-98.5
New York,26,40.714269,-74.005973
Minneapolis,27,44.97997,-93.26384
Minneapolis,28,44.97997,-93.26384
Paris,29,48.85341,2.3488
Washington,30,47.50012,-120.50147
United States,31,39.76,-98.5
Minneapolis,32,44.97997,-93.26384
Minneapolis,34,44.97997,-93.26384
Minnesota,35,46.25024,-94.25055
Lake Geneva,37,42.59168,-88.43343
Lake Geneva,38,42.59168,-88.43343
Minneapolis,39,44.97997,-93.26384
Connecticut,40,41.66704,-72.66648
Eton,41,51.48833,-0.60905
Oxford,42,51.75222,-1.25596
New England,44,46.53918,-102.86822
Andover,45,51.20828,-1.48246
Exeter,46,50.7236,-3.52751
New England,47,46.53918,-102.86822
St. Mark's,48,12.19021,-61.70677
Groton,49,41.3501,-72.07841
"St.
Regis",50,51.483,11.972
Boston,51,42.35843,-71.05977
"New
York",52,55.0253096,-1.4870706
Pomfret,53,38.57734,-77.03053
St. George's,54,12.05644,-61.74849
Pawling,56,41.56204,-73.60263
New York,58,40.714269,-74.005973
St. Regis,60,47.29937,-115.10264
Princeton,61,25.53844,-80.40894
Princeton,62,25.53844,-80.40894
Ireland,63,53.0,-8.0
Boston,64,42.35843,-71.05977
The Hague,65,52.07667,4.29861
Minneapolis,66,44.97997,-93.26384
New York,67,40.714269,-74.005973
Washington,68,47.50012,-120.50147
Broadway,69,38.61317,-78.79891
Astor,70,29.16248,-81.52535
St. Regis,71,47.29937,-115.10264
New York,72,40.714269,-74.005973
Broadway,74,38.61317,-78.79891
New York,75,40.714269,-74.005973
Groton,76,41.3501,-72.07841
Groton,77,41.3501,-72.07841
Minneapolis,78,44.97997,-93.26384
Minneapolis,79,44.97997,-93.26384
Eastchester,80,40.8876,-73.83291
Indiana,81,40.00032,-86.25027
Portland,82,45.52345,-122.67621
St. Regis,83,47.29937,-115.10264
Minneapolis,84,44.97997,-93.26384
America,85,39.76,-98.5
Lawrenceville,89,33.95621,-83.98796
Pomfret,90,38.57734,-77.03053
Lawrenceville,91,33.95621,-83.98796
New York,92,40.714269,-74.005973
"New
York",93,55.0253096,-1.4870706
Pia,95,40.69365,-89.58899
Trenton,97,40.21705,-74.74294
Farmington,98,36.72806,-108.21869
Garden,100,45.7747,-86.5507
Princeton,102,25.53844,-80.40894
Paris,103,48.85341,2.3488
Louisville,104,38.25424,-85.75941
Memphis,105,35.14953,-90.04898
Chicago,106,41.85003,-87.65005
Philadelphia,108,39.95234,-75.16379
Minneapolis,109,44.97997,-93.26384
Minneapolis,110,44.97997,-93.26384
Minneapolis,111,44.97997,-93.26384
Minneapolis,113,44.97997,-93.26384
New York,114,40.714269,-74.005973
Chicago,115,41.85003,-87.65005
Louisville,116,38.25424,-85.75941
Renwick,120,42.82803,-93.98106
Asbury Park,121,40.22039,-74.01208
Princeton,122,25.53844,-80.40894
Asbury,124,42.51445,-90.75152
Allenhurst,125,31.7841,-81.60761
Tacoma,127,47.25288,-122.44429
"New
York",128,55.0253096,-1.4870706
Asbury,129,42.51445,-90.75152
East Side,131,41.06147,-75.76936
Racine,132,42.72613,-87.78285
New York,133,40.714269,-74.005973
Philadelphia,134,39.95234,-75.16379
Stony Brook,136,40.92565,-73.14094
Minneapolis,140,44.97997,-93.26384
Lawrenceville,141,33.95621,-83.98796
Amory,142,33.98428,-88.4881
Lawrenceville,143,33.95621,-83.98796
New York,144,40.714269,-74.005973
Princeton,145,25.53844,-80.40894
"New
York",147,55.0253096,-1.4870706
Princeton,149,25.53844,-80.40894
