toponym,offset
BOSTON,0
MASSACHUSETTS,1
ESQ,2
Nantucket,3
New Bedford,4
New Bedford,5
Massachusetts,6
Bay State,7
United States,8
Atlantic,9
Ireland,10
Dublin,11
Africa,12
Maryland,13
Georgia,14
Alabama,15
Louisiana,16
Chesapeake Bay,17
United States,18
Maryland,19
Washington,20
BOSTON,21
ESQ,22
BOSTON,23
West India,24
Chesapeake,25
Mississippi,26
North,27
Massachusetts,28
Massachusetts,29
United States,30
New England,31
Carolinas,32
Massachusetts,33
Easton,34
Talbot County,35
Maryland,36
Baltimore,37
New York City,38
Baltimore,39
Nantucket,40
District of Columbia,41
United States,42
Haiti,43
Tuckahoe,44
Hillsborough,45
Easton,46
Talbot county,47
Maryland,48
Maryland,49
Africa,50
Chesapeake Bay,51
Easton,52
Talbot county,53
Miles River,54
Baltimore,55
Baltimore,56
Wye Town,57
Baltimore,58
Baltimore,59
Easton,60
Annapolis,61
Great House Farm,62
Georgia,63
St. Michael,64
"Talbot
county",65
Maryland,66
Talbot county,67
Maryland,68
St. Michael,69
Baltimore,70
Baltimore,71
Baltimore,72
Baltimore,73
Baltimore,74
England,75
Ireland,76
Baltimore,77
Great House,78
Baltimore,79
Great House,80
Baltimore,81
Miles River,82
Baltimore,83
Annapolis,84
New England,85
Baltimore,86
"Alliciana
Street",87
Baltimore,88
Baltimore,89
Baltimore,90
Providence,91
Baltimore,92
Philpot Street,93
Philpot Street,94
Africa,95
District of Columbia,96
States,97
Wilk Street,98
Baltimore,99
Hillsborough,100
Baltimore,101
Georgia,102
Baltimore,103
Baltimore,104
Baltimore,105
Baltimore,106
Whittier,107
Virginia,108
"St.
Michael",109
St. Michael,110
Baltimore,111
Baltimore,112
Philadelphia,113
North Point,114
Baltimore,115
St. Michael,116
Maryland,117
Bay,118
St. Michael,119
St. Michael,120
St. Michael,121
"St.
Michael",122
St. Michael,123
Chesapeake Bay,124
North Point,125
Delaware,126
Pennsylvania,127
St. Michael,128
St. Michael,129
St. Michael,130
Sabbath,131
Canada,132
New York,133
Chesapeake Bay,134
Maryland,135
Baltimore,136
Talbot county,137
Maryland,138
Baltimore,139
Baltimore,140
Easton jail,141
St. Michael,142
Easton,143
Easton,144
Easton,145
Alabama,146
Alabama,147
Baltimore,148
Baltimore,149
Baltimore,150
Fred.,151
Bond Street,152
Baltimore,153
Baltimore,154
Baltimore,155
Baltimore,156
Baltimore,157
New York,158
"New
York",159
New York,160
New York,161
Canada,162
New Bedford,163
New York,164
New York,165
Newport,166
New Bedford,167
Newport,168
New Bedford,169
Newport,170
Newport,171
New Bedford,172
New Bedford,173
New Bedford,174
New Bedford,175
Maryland,176
Baltimore,177
New York,178
New Bedford,179
New Bedford,180
"New
Bedford",181
New Bedford,182
New Bedford,183
Baltimore,184
Maryland,185
Hillsborough,186
Easton,187
St. Michael,188
Baltimore,189
Maryland,190
Maryland,191
Talbot county Maryland,192
New Bedford,193
New Bedford,194
New Bedford,195
Nantucket,196
New Bedford,197
Israel,198
America,199
America,200
Bashan,201
Mass.,202
United States,203
United States,204
United States,205
United States,206
United States,207
United States,208
"United
States",209
United States,210
Mississippi,211
U.S.,212
"Melan Dr. S.
Fairbanks",213
Salt Lake City,214
UT,215
"United
States",216
United States,217
U.S.,218
U.S.,219
